date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-10-07,2015,豐興,TWSE,581599424,68136410,11.71
2025-10-07,2017,官田鋼,TWSE,446874691,8677278,1.94
2025-10-07,2020,美亞,TWSE,267031320,8686217,3.25
2025-10-07,2022,聚亨,TWSE,337168138,7258274,2.15
2025-10-07,2023,燁輝,TWSE,1926356214,114918242,5.96
2025-10-07,2024,志聯,TWSE,97500000,411780,0.42
2025-10-07,2025,千興,TWSE,172660536,1048737,0.6
2025-10-07,2027,大成鋼,TWSE,2584260615,574851410,22.24
2025-10-07,2028,威致,TWSE,325714800,2166171,0.66
2025-10-07,2029,盛餘,TWSE,321180000,213048000,66.33
